source_file,participant_id,main_row_index,iso_time,iso_time_parsed,phase,event_type,event_name,action_clean,actor_type,role,action,is_role_action,is_human_action,is_agent_action,success_bool,rt_ms,rt_sec,phase_index,key,repetition,round,turn_global,turn_index_in_round,move_index_in_turn,current_x,current_y,from_x,from_y,to_x,to_y,dx,dy,clamped,success,reason,forager_x,forager_y,security_x,security_y,forager_stun_turns,gold_total,gold_delta,tile_gold_mine,tile_mine_type,tile_x,tile_y,depletion_status,chase_status,alien_id,alien_x,alien_y,has_alien,chased_away,found_alien_count,found_alien_id,scan_center_x,scan_center_y,scanned_tile_count,map_name,map_reward_level,map_risk_level,map_num,partner_name,partner_role,human_role,decay_prob,mine_type_key,mine_type_raw,rng_u
gridgame_clean_Bill_2026-05-12T04-39-47-530Z.csv,Bill,1,2026-05-12T03:37:10.178Z,2026-05-12 03:37:10.178000+00:00,main,phase_event,game_start,game_start,,,,False,False,False,False,6208.0,6.208,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gridgame_clean_Bill_2026-05-12T04-39-47-530Z.csv,Bill,2,2026-05-12T03:37:12.995Z,2026-05-12 03:37:12.995000+00:00,main,phase_event,game_start,game_start,,,,False,False,False,False,2816.0,2.816,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gridgame_clean_Bill_2026-05-12T04-39-47-530Z.csv,Bill,3,2026-05-12T03:37:16.268Z,2026-05-12 03:37:16.268000+00:00,main,phase_event,game_start,game_start,,,,False,False,False,False,3274.0,3.274,3.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gridgame_clean_Bill_2026-05-12T04-39-47-530Z.csv,Bill,4,2026-05-12T03:37:18.018Z,2026-05-12 03:37:18.018000+00:00,main,phase_event,game_start,game_start,,,,False,False,False,False,1750.0,1.75,4.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gridgame_clean_Bill_2026-05-12T04-39-47-530Z.csv,Bill,5,2026-05-12T03:38:52.266Z,2026-05-12 03:38:52.266000+00:00,main,phase_event,game_start,game_start,,,,False,False,False,False,94248.0,94.248,10.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gridgame_clean_Bill_2026-05-12T04-39-47-530Z.csv,Bill,6,2026-05-12T03:38:53.665Z,2026-05-12 03:38:53.665000+00:00,main,role_action,move,move_down,,forager,move_down,True,False,False,False,1398.0,1.398,10.0,ArrowDown,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gridgame_clean_Bill_2026-05-12T04-39-47-530Z.csv,Bill,7,2026-05-12T03:38:55.989Z,2026-05-12 03:38:55.989000+00:00,main,role_action,move,move_down,,forager,move_down,True,False,False,False,2325.0,2.325,10.0,ArrowDown,,,,,,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gridgame_clean_Bill_2026-05-12T04-39-47-530Z.csv,Bill,8,2026-05-12T03:38:59.356Z,2026-05-12 03:38:59.356000+00:00,main,role_action,move,move_down,,forager,move_down,True,False,False,False,3367.0,3.367,10.0,ArrowDown,,,,,,0.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gridgame_clean_Bill_2026-05-12T04-39-47-530Z.csv,Bill,9,2026-05-12T03:39:00.083Z,2026-05-12 03:39:00.083000+00:00,main,role_action,move,move_down,,forager,move_down,True,False,False,False,727.0,0.727,10.0,ArrowDown,,,,,,0.0,4.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,,,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gridgame_clean_Bill_2026-05-12T04-39-47-530Z.csv,Bill,10,2026-05-12T03:39:00.386Z,2026-05-12 03:39:00.386000+00:00,main,role_action,move,move_right,,forager,move_right,True,False,False,False,303.0,0.303,10.0,ArrowRight,,,,,,1.0,4.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,,,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
