x,y,mine_type,alien_id
0,0,,
0,1,,
0,2,Gold Mine C,
0,3,,
0,4,,
0,5,Gold Mine A,
0,6,Gold Mine B,
0,7,Gold Mine C,
0,8,,1.0
0,9,,
0,10,Gold Mine C,
0,11,Gold Mine C,
0,12,,2.0
1,0,,
1,1,,
1,2,,
1,3,Gold Mine C,
1,4,,
1,5,Gold Mine C,
1,6,Gold Mine C,
1,7,,
1,8,Gold Mine B,
1,9,Gold Mine C,
1,10,Gold Mine C,
1,11,Gold Mine C,
1,12,,
2,0,,
2,1,,
2,2,,
2,3,Gold Mine C,
2,4,Gold Mine A,
2,5,,5.0
2,6,Gold Mine C,
2,7,,
2,8,Gold Mine C,
2,9,Gold Mine A,
2,10,Gold Mine B,
2,11,Gold Mine C,
2,12,Gold Mine C,
3,0,Gold Mine C,
3,1,,
3,2,,
3,3,,
3,4,,
3,5,,
3,6,,
3,7,,
3,8,,
3,9,,
3,10,,
3,11,Gold Mine C,
3,12,,
4,0,,
4,1,,
4,2,,
4,3,Gold Mine B,
4,4,Gold Mine C,
4,5,Gold Mine C,
4,6,,
4,7,Gold Mine C,
4,8,Gold Mine A,
4,9,,
4,10,,
4,11,,
4,12,,
5,0,,
5,1,,
5,2,,
5,3,,
5,4,,
5,5,,
5,6,,
5,7,,
5,8,Gold Mine C,
5,9,,
5,10,Gold Mine C,
5,11,,
5,12,Gold Mine C,
6,0,,
6,1,,
6,2,Gold Mine C,
6,3,,
6,4,,
6,5,,
6,6,,
6,7,,
6,8,,
6,9,Gold Mine C,
6,10,,
6,11,,
6,12,,
7,0,,
7,1,Gold Mine C,
7,2,,
7,3,,
7,4,,
7,5,,
7,6,,
7,7,,
7,8,,6.0
7,9,,
7,10,,
7,11,,
7,12,,
8,0,Gold Mine B,
8,1,,
8,2,,
8,3,Gold Mine C,
8,4,Gold Mine C,
8,5,Gold Mine B,
8,6,Gold Mine C,
8,7,,
8,8,,
8,9,,
8,10,Gold Mine B,
8,11,,
8,12,,
9,0,,
9,1,,
9,2,,
9,3,Gold Mine B,
9,4,,
9,5,,
9,6,,
9,7,Gold Mine C,
9,8,Gold Mine C,
9,9,Gold Mine C,
9,10,,
9,11,Gold Mine B,
9,12,,
10,0,,3.0
10,1,Gold Mine C,
10,2,Gold Mine B,
10,3,,
10,4,,
10,5,Gold Mine B,
10,6,Gold Mine C,
10,7,,
10,8,Gold Mine B,
10,9,Gold Mine C,
10,10,,
10,11,,
10,12,,
11,0,,
11,1,Gold Mine C,
11,2,,
11,3,,
11,4,,
11,5,Gold Mine C,
11,6,Gold Mine B,
11,7,,4.0
11,8,,
11,9,,
11,10,,
11,11,Gold Mine B,
11,12,,
12,0,Gold Mine C,
12,1,Gold Mine C,
12,2,,
12,3,,
12,4,,
12,5,,
12,6,Gold Mine B,
12,7,,
12,8,,
12,9,,
12,10,Gold Mine B,
12,11,,
12,12,Gold Mine C,
